Company Name,Public/Private,Ticker,Industry,CIK
Ally Investment Management LLC,Public,ALLY,Auto,0000040729
American Express Credit Corp,Public,AXP,FIG,0000004962
Caterpillar Financial Services Corp,Public,CAT,Industrials,0000018230
CBS Corporation,Public,CBS,CME,0000813828
Toyota Motor Credit Corporation,Public,TM,Auto,0001094517
General Electric Financial Markets,Public,GE,Industrials,0000040545
Synchrony Financial,Public,SYF,FIG,0001601712
T-Mobile Handset Funding LLC,Public,TMUS,Securitization,0001283699
Activision Blizzard,Public,ATVI,CME,0000718877
Ameren Corp,Public,AEE,Power/Utility,0001002910
American Electric Power Co,Public,AEP,Power/Utility,0000004904
American Water Works,Public,AWK,Power/Utility,0001410636
Aria Energy,Private,,Energy,
Atlantic Power Corp,Public,AT,Energy,0001419242
Berkshire / Midamerican,Public,BRKHEC,Energy,
Black Hills Corp,Public,BKH,Energy,0001130464
Calpine,Public,CPN,Energy,0000916457
Centerpoint Energy,Public,CNP,Power/Utility,0001130310
Chesapeake Utilities,Public,CPK,Energy,0000019745
Cms Energy,Public,CMS,Energy,0000811156
Dominion Resources,Public,D,Power/Utility,0000715957
Dpl,Public,AES,Energy,0000874761
Duke Energy,Public,DUK,Power/Utility,0001326160
"Dynegy, Inc",Public,DYN,Energy,0001379895
Edison International,Public,EIX,Energy,0000827052
Electric Infrastructure A Of A,Private,,Energy,
Empire District Electric Co,Public,EDE,Energy,0000032689
Energy Future Holdings,Private,,Energy,
Enviva Lp,Public,EVA,Energy,0001592057
Essential Power,Private,,Energy,
Exelon,Public,EXC,Power/Utility,0001109357
Firstenergy,Public,FE,Energy,0001031296
"Green Country Energy, Llc",Private,,Energy,
Hawaiian Electric Industries,Public,HE,Energy,0000354707
Idacorp Inc,Public,IDA,Energy,0001057877
Intergen,Private,,Energy,
Invenergy,Private,,Energy,
Laclede Group,Public,LG,Energy,0001126956
Ldc Holdings,Private,,Power/Utility,
Ls Power Associated Lp,Private,,Energy,
"Mayflower Energy Holdings, LLC",Private,,Power/Utility,
Mcv,Private,,Energy,
Mdu Resources,Public,MDU,Energy,0000067716
"Nextera Energy, Inc",Public,NEE,Power/Utility,0000753308
Nisource,Public,NI,Power/Utility,0001111711
Northeast Utilities,Public,ES,Energy,0000072741
Northwest Natural Gas,Public,NWN,Energy,0000073020
Northwestern Corp,Public,NEW,Energy,0001287286
"Nrg Energy, Inc",Public,NRG,Energy,0001013871
Oge Energy Corp,Public,OGE,Energy,0001021635
"One Gas, Inc.",Public,OGS,Energy,0001587732
Pattern,Public,PEGI,Energy,0001561660
PG&E Corp,Public,PCG,Energy,0001004980
Piedmont Natural Gas,Public,PNY,Energy,0000078460
Pnm Resources,Public,PNM,Energy,0001108426
Ppl Corp,Public,PPL,Energy,0000922224
Public Service Enterprise Group,Public,PEGI,Energy,0001561660
Puget Energy,Private,,Energy,
Sempra Energy,Public,SRE,Energy,0001032208
Shannon Wind,Private,,Energy,
Solarcity,Public,SCTY,Energy,0001408356
Southwest Water,Public,SWWC,Energy,0000092472
Star West Generation Llc,Private,,Energy,
Sunedison,Public,SUNE,Energy,0000945436
"Sunrun, Inc",Public,RUN,Energy,0001469367
Talen Energy,Public,TLN,Energy,0001622536
Teco Energy Inc,Public,TE,Energy,0000350563
Tenaska,Private,,Energy,
Upper Pennisula Power,Private,,Energy,
Wgl Holdings,Public,WGL,Power/Utility,0001103601
Wisconsin Energy,Public,WEC,Energy,0000783325
Xcel Energy,Public,XEL,Energy,0000072903
6922767 Holding S.A.R.L.,Public,HELI,Energy,0001586300
Afglobal Corporation,Private,,Energy,
Alliance Resource Partners Lp,Public,ARLP,Energy,0001086600
American Midstream Partners,Public,AMID,Energy,0001513965
Western Gas Partners Lp,Public,WES,Energy,0001414475
Apache Corporation,Public,APA,Energy,0000006769
Approach Resources Inc.,Public,AREX,Energy,0001405073
Conocophillips,Public,COP,Energy,0001163165
Contango Oil & Gas Company,Public,MCF,Energy,0001071993
Corenergy Infrastructure Trust,Public,CORR,Energy,0001347652
Coronado Midstream,Private,,Energy,
Crestwood Equity Partners Lp,Public,CEQP,Energy,0001136352
"Dcp Midstream, Llc",Public,DPM,Energy,0001338065
Delek Us Holdings Inc.,Public,DK,Energy,0001351541
"Denbury Resources, Inc.",Public,DNR,Energy,0000945764
Devon Energy Corporation,Public,DVN,Energy,0001090012
Eagle Rock Energy Partners,Private,,Energy,
Emerge Energy Services Oper,Public,EMES,Energy,0001555177
Enduro Resource Partners Llc,Private,,Energy,
Energen Corp,Public,EGN,Energy,0000277595
"Energy Transfer Equity, L.P.",Public,ETE,Energy,0001276187
"Enervest, Ltd.",Private,,Energy,
Enterprise Products Partners,Public,EPD,Energy,0001061219
Eog Resources Inc,Public,EOG,Energy,0000821189
Ep Energy Llc,Public,EPE,Energy,0001584952
Eqt Corporation,Public,EQT,Energy,0000033213
Exterran Holdings Inc,Public,EXH,Energy,0001389050
Extraction Oil & Gas Holdings,Public,EXTOIL,Energy,
Exxon Mobil Corporation,Public,XOM,Energy,0000034088
Fairmount Santrol Inc,Public,FMSA,Energy,0001010858
Fayetteville Express Pipeline,Private,,Energy,
"Fleur De Lis Energy, Llc",Private,,Energy,
Freeport LNG,Private,,Energy,
Forest Oil Corporation,Public,SOGCQ,Energy,0000038079
Formation Energy L.P.,Private,,Energy,
"Fuse Energy, Llc",Private,,Energy,
"Genesis Energy, L.P.",Public,GEL,Energy,0001022321
"Globe Energy Services, Llc",Private,,Energy,
Golar Lng Partners Lp,Public,GLNG,Energy,0001207179
Goodrich Petroleum Corporation,Public,GDP,Energy,0000943861
"Great Western Petroleum, Llc",Private,,Energy,
Halcon Resources Corporation,Public,HK,Energy,0001282648
"Howard Midstream Energy, Llc",Private,,Energy,
Hunt Consolidated Inc,Private,,Energy,
Jp Energy Partners Lp,Public,JPEP,Energy,0001523404
Key Energy Services Inc.,Public,KEG,Energy,0000318996
"Kinder Morgan, Inc.",Public,KMI,Energy,0001506307
Kodiak Oil & Gas Corp.,Public,KDKN,Energy,0001109553
Legacy Reserves Lp,Public,LGCY,Energy,0001358831
Linn Energy Llc,Public,LINE,Energy,0001326428
Loews Corporation,Public,L,Energy,0000060086
"Lrr Energy, L.P.",Private,,Energy,
Ltr Hold Co,Private,,Energy,
Magellan Midstream Partners Lp,Public,MMP,Energy,0001126975
Magnum Hunter Resources Corp.,Public,MHR,Energy,0001335190
Marathon Oil Corp,Public,MRO,Energy,0000101778
"Markwest Energy Partners, Lp",Public,MWE,Energy,0001166036
Martin Midstream Partners L.P.,Public,MMLP,Energy,0001176334
Matador Resources Company,Public,MTDR,Energy,0001520006
"Maxum Enterprises, Llc",Private,,Energy,
Memorial Resource Development,Public,MRD,Energy,0001599222
Merit Energy Company Llc,Private,,Energy,
Meritage Midstream Services Ii,Private,,Energy,
"Mid-Con Energy Partners, Lp",Public,MCEP,Energy,0001527709
Midstates Petroleum Comp Inc.,Public,MPO,Energy,0001533924
Morningstar Partners Lp,Private,,Energy,
Murphy Oil Corporation,Public,MUR,Energy,0000717423
Natural Resource Partners L.P.,Public,NRP,Energy,0001171486
Net Mexico Pipeline Partners,Private,,Energy,
"Newark E&P Holdings, Llc",Private,,Energy,
Newfield Exploration Company,Public,NFX,Energy,0000912750
Ngl Energy Partners,Public,NGL,Energy,0001504461
"Noble Energy, Inc.",Public,NBL,Energy,0000072207
"Northern Oil & Gas, Inc.",Public,NOG,Energy,0001104485
Nustar Energy L.P.,Public,NS,Energy,0001110805
Oasis Petroleum North America,Public,OAS,Energy,0001486159
Oil States International Inc.,Public,OIS,Energy,0001121484
Oneok Partners Lp,Public,OKS,Energy,0000909281
"Parsley Energy, L.P.",Public,PE,Energy,0001594466
Pbf Energy Inc.,Public,PBF,Energy,0001534504
Penn Virginia Corporation,Public,PVA,Energy,0000077159
Penntex Midstream Partners,Public,PTXP,Energy,0001617798
Phillips 66,Public,PSX,Energy,0001534701
Pioneer Energy Services Corp,Public,PES,Energy,0000320575
Pioneer Natural Resources Co,Public,PNR,Energy,0000077360
Plains All American Pipeline,Public,PAA,Energy,0001070423
"Qa Holdings, Lp",Private,,Energy,
Range Resources Corporation,Public,RRC,Energy,0000315852
"Reliance Exploration, Ltd",Private,,Energy,
"Republic Midstream, Llc",Private,,Energy,
Rex Energy Corporation,Public,REXX,Energy,0001397516
Rice Energy Inc,Public,RICE,Energy,0001588238
Rki Exploration & Production,Private,,Energy,
Rosetta Resources Inc,Private,,Energy,
Rowan Companies Plc,Public,RDC,Energy,0000085408
"Rsp Permian, L.L.C.",Public,RSPP,Energy,0001588216
Sabine Oil & Gas Corp,Public,SOGCQ,Energy,0000038079
Samson Investment Company,Private,,Energy,
Sanchez Energy Corporation,Public,SN,Energy,0001528837
"Sandridge Energy, Inc.",Public,SD,Energy,0001349436
Schlumberger Ltd.,Public,SLB,Energy,0000087347
Seadrill Limited,Public,SDRL,Energy,0001351413
"Select Energy Services, Llc",Private,,Energy,
Semgroup Corp,Public,SEMG,Energy,0001489136
Sheridan Production Partners,Private,,Energy,
Sm Energy Company,Public,SM,Energy,0000893538
Southcross Energy Partners,Public,SXE,Energy,0001547638
Southwestern Energy Company,Public,SWN,Energy,0000007332
Spectra Energy,Public,SE,Energy,0001373835
Stonegate Production Company,Private,,Energy,
"Summit Midstream Partners, Llc",Public,SMLP,Energy,0001549922
"Superior Energy Services, Inc.",Public,SPN,Energy,0000886835
Swift Energy Company,Public,SFYWQ,Energy,
Tallgrass Development Lp,Public,TEP,Energy,0001569134
"Tapstone Energy, Llc",Private,,Energy,
Targa Resources Corp,Public,TRGP,Energy,0001389170
Tesoro Corporation,Public,TSO,Energy,0000050104
"Tetra Technologies, Inc.",Public,TTI,Energy,0000844965
"The Williams Companies, Inc",Public,WMB,Energy,0000107263
Ultra Petroleum Corp.,Public,UPL,Energy,0001022646
"Usa Compression Partners, Lp",Public,USAC,Energy,0001522727
Usd Partners Lp,Public,USDP,Energy,0001610682
Valero Energy Corporation,Public,VLO,Energy,0000021271
"Vanguard Natural Resources, Ll",Public,VNR,Energy,0001384072
Vantage Drilling Company,Public,VTGDF,Energy,0001419428
"Vantage Energy, Llc",Private,,Energy,
Weatherford International Ltd,Public,WFT,Energy,0001603923
Whiting Petroleum Corporation,Public,WLL,Energy,0001255474
"Wishbone Energy Partners, Llc",Private,,Energy,
"WPX Energy, Inc.",Public,WPX,Energy,0001518832
Kraft Heinz,Public,KHC,Consumer/Retail,0001637459
PACCAR Financial Ltd.,Public,PCAR,Industrials,0000075362
"John Deere Financial Services, Inc.",Public,DE,Industrials,0000315189
"Carmax Auto Superstores, Inc.",Public,KMX,Leasing,0001170010
Vault Funding Limited,Public,GM,Securitization,0001467858
Chesapeake Funding LLC,Public,EFN CN,Securitization,
Avis Budget Rental Car Funding (AESOP) LLC,Private,,Securitization,
Americredit Financial Services Inc.,Public,GM,Auto,0001467858
WestRock,Public,WRK,Industrials,0001636023
Ford Credit Canada Limited,Public,F,Auto,0000037996
Globaldrive (UK) Variable Funding II plc,Public,F,Securitization,0000037996
VW Credit Canada Funding LP Series 2015-1,Private,,Securitization,
SCANA Corp,Public,SCG,Power/Utility,0000754737
HK Lease Funding LP,Public,HYNMTR,Securitization,
SteelRiver Transmission Co LLC,Private,,Power/Utility,
CSRA,Public,CSRA,Aerospace,0001646383
Nobel Learning Communities,Public,NLCI,FIG,0000721237
"BMW US Capital, LLC",Public,BMW,Auto,
Navient Private Education Loan Trust 2016-A,Private,,Consumer/Retail,
"First Tennessee Bank, N.A.",Public,FHN,FIG,0000036966
Walt Disney Company,Public,DIS,CME,0001001039
IHS Markit Ltd,Public,INFO,CME,0001598014
Navient Corporation,Public,NAVI,FIG,0001593538
National Australia Bank Limited,Public,NAB AU,FIG,0000833029
Cox Enterprises,Private,,CME,
Santander Consumer USA Inc.,Public,SC,Auto,0001580608
Lowe's,Public,LOW,Consumer/Retail,0000060667
F-CARAT 2010-01,Public,GM,Securitization,0001467858
"TierPoint, LLC",Private,,CME,
Crown Castle International Corp,Public,CCI,CME,0001051470
Care Capital Properties,Public,CCP,Real Estate,0001639947
GMF Prime Automobile Warehouse Trust IV,Private,,Securitization,
American Tower Corporation,Public,AMT,CME,0001053507
"Centurylink, Inc.",Public,CTL,CME,0000018926
Comcast Corp,Public,CMCSA,CME,0001166691
Communications Sales And Leasing,Public,CSAL,CME,0001620280
Discovery Communications Inc.,Public,DISCA,CME,0001437107
"Equinix, Inc.",Public,EQIX,CME,0001101239
Lumos,Public,LMOS,CME,0001520744
Midcontinent Communications,Public,MIDCON,CME,
Nielsen Holdings N.V.,Public,NLSN,CME,0001492633
Sprint Corporation,Public,S,CME,0000101830
Telephone & Data Systems Inc.,Public,TDS,Securitization,0001051512
"Windstream Holdings, Inc.",Public,WIN,CME,0001282266
Zayo Group Holdings Inc.,Public,ZAYO,CME,0001608249
Charter Communications,Public,CHTR,CME,0001091667
"Media General, Inc.",Public,MEG,CME,0000216539
Mediacom Communications Corp,Public,MCCC,CME,0001098659
Viacom Inc.,Public,VIA,CME,0001339947
GMF Canada Automobile Receivables Trust,Private,,Securitization,
Chesapeake Funding II LLC,Private,,Securitization,
Starwood Capital,Private,,Real Estate,
SCARF 2016-L2 LLC,Private,,Securitization,
QVC Inc.,Public,QVCA,CME,0001355096
Omnicom,Public,OMC,CME,0000029989
Arris International plc,Public,ARRS,CME,0001645494
Vivid Seats,Private,,Tech,
TreeHouse Foods,Public,THS,Consumer/Retail,0001320695
FAST 2016-R1,Private,,Securitization,
E-CARAT 6 plc,Private,,Securitization,
Ally AFRBC Issuer III LLC,Private,,Securitization,
"Volkswagen Operating Lease Transaction, LLC",Public,VW,Securitization,
FCE Bank plc,Public,F,Auto,0000037996
Petco,Private,,Consumer/Retail,
Galatyn Parent LP,Private,,Real Estate,
Imagine!,Private,,CME,
Gray TV,Public,GTN,,0000043196
"VW Credit Canada, Inc.",Public,VOW GY,Auto,0000839772
Cision,Private,,CME,
Shentel Cable,Public,SHEN,CME,0000354963
Crown Media Holdings,Public,CRWN,CME,0001103837
Quorum Health Corp,Public,QHC,Healthcare,0001650445
ACP Datacenter Holdings Inc.,Private,,CME,
Cable & Wireless Comm PLC,Private,,CME,
"Cable One, Inc.",Public,CABO,CME,0001632127
Cablevision Systems Corp,Public,CVC,CME,0001053112
Give & Go,Private,,Consumer/Retail,
NAPA (North American Partners in Anesthesia),Private,,Healthcare,
"Carmike Cinemas, Inc",Public,CKEC,CME,0000799088
Hertz Global Holdings,Public,HTZ,Leasing,0001657853
Cologix,Private,,CME,
DHX Media Ltd,Public,DHX / DHXCN,CME,
Cable Bahamas Limited,Public,CAB BM,,
Frontier Communications Inc,Public,FTR,CME,0000020520
"Legend Pictures, LLC",Private,,CME,
Sherwin-Williams,Public,SHW,Industrials,0000089800
Albertsons Companies,Private,,Consumer/Retail,
Arizona Beverages,Private,,Consumer/Retail,
Belk,Private,,Consumer/Retail,
Fresh Market,Private,,Consumer/Retail,
Old Line Funding (AT&T),Private,,Securitization,
Verizon Communications,Public,VZ,CME,0000732712
Hyundai Capital America,Private,,Auto,
"VW Credit, Inc.",Public,VW,Auto,
"Ryder System, Inc.",Public,R,Leasing,0000085961
Starz,Public,STARZ,CME,
Lions Gate Entertainment Corp,Public,LGF,CME,0001337587
"Media Rights Capital II, L.P.",Private,,CME,
"MGM Holdings II, Inc",Public,MGM,CME,0000789570
Monarchy Enterprises Holdings,Private,,CME,
"National Cinemedia, Inc",Public,NCMI,CME,0001377630
Nexstar Broadcasting Group,Public,NXST,CME,0001142417
"Raycom TV Broadcasting, LLC",Private,,CME,
"Sinclair Broadcast Group, Inc",Public,SBGI,CME,0000912752
Tegna Inc,Public,TGNA,CME,0000039899
The E.W. Scripps Company,Public,SSP,CME,0000832428
WME IMG Holdings LLC,Private,,CME,
WTAT,Private,,CME,
Nuance Communications Inc,Public,NUAN,Tech,0001002517
U.S. Cellular,Private,,Securitization,
Ally Financial Inc.,Public,ALLY,Auto,0000040729
Ally AFRBC Issuer II LLC,Private,,Securitization,
"Enterprise Fleet Management, Inc.",Private,,Securitization,
Enterprise Fleet Financing LLC,Private,EHI,Securitization,
Enterprise Holdings Inc.,Private,EHI,Securitization,
McGraw-Hill Education,Private,,CME,
General Motors,Public,GM,Auto,0001467858
Ally AFRBC Issuer LLC,Private,,Securitization,
Edgewater Village,Private,,Real Estate,
Synopsys,Public,SNPS,Tech,0000883241
"Avis Budget Car Rental, LLC",Public,CAR,Leasing,0000723612
Canadian Imperial Bank,Public,CM,FIG,0001045520
Nextera Energy Capital Holdings,Public,NEE,Power/Utility,0000753308
GMF Leasing Warehouse Trust 2016-A,Public,GMALT 2016-A,Securitization,
APLP Holdings LP,Public,AT,Power/Utility,0001419242
Atlantic Power LP,Public,AT,Power/Utility,0001419242
American Water Capital Corp,Public,AWK,Power/Utility,0001410636
AFTER (Retail),Public,AFTER,Securitization,
SMBC Aviation,Private,,Leasing,
South Carolina Electric & Gas,Private,,Power/Utility,
"Brush Power, LLC",Private,,Energy,
"Energy Transfer Partners, LP",Public,ETP,Energy,0001012569
Sunoco Logistics Partners,Public,SXL,Energy,0001161154
"Centerpoint Energy Houston Electric, LLC",Public,CNP,Power/Utility,0001130310
EnLink Midstream Partners,Public,ENLK,Energy,0001179060
AFTER (Lease),Private,,Securitization,
Uber,Private,,Tech,
Diamond Resorts International,Public,DRII,Real Estate,0001566897
Symantec,Public,SYMC,Tech,0000849399
Surgery Partners,Public,SGRY,Healthcare,0001638833
Australia & New Zealand Bank,Public,ANZ AU,FIG,0000859994
Toyota Credit Canada Inc.,Public,TM,Auto,0001094517
Globaldrive Auto Receivables UK 2016-A,Private,,Securitization,
Ford Credit CP Auto Receivables,Private,,Securitization,
Beasley Broadcast Group,Public,BBGI,CME,0001099160
DirectTV,Private,,CME,
Beaver-Visitec,Private,,Healthcare,
Polyconcept,Private,,Consumer/Retail,
Charlesbank,Private,,,
Ford Lease Trust 2015-L1,Private,,Securitization,
Navient Private Education Loan Trust 2015-A,Private,,Securitization,
Navient Private Education Loan Trust 2014-A,Private,,Securitization,
E-CARAT 5 plc,Private,,Securitization,
FAST 2015-R1,Private,,Securitization,
FCALT 2014-WH3,Private,,Securitization,
